Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country
40,G Gambhir,10/14/1981,Left hand Bat,Legbreak,India
41,V Sehwag,10/20/1978,Right hand Bat,Right-arm offbreak,India
42,S Dhawan,5/12/1985,Left hand Bat,Right-arm offbreak,India
43,L Ronchi,4/23/1981,Right hand Bat,NA,Australia
44,ST Jayasuriya,6/30/1969,Left hand Bat,Slow left-arm orthodox,Sri Lanka
45,DJ Thornely,1/10/1978,Right hand Bat,Right-arm medium,Australia
46,RV Uthappa,11/11/1985,Right hand Bat,Right-arm medium,India
47,PR Shah,3/11/1987,Right hand Bat,NA,India
48,AM Nayar,8/10/1983,Left hand Bat,Right-arm medium,India
49,SM Pollock,7/16/1973,Right hand Bat,Right-arm fast-medium,South Africa
50,Harbhajan Singh,3/7/1980,Right hand Bat,Right-arm offbreak,India
51,S Chanderpaul,8/16/1974,Left hand Bat,Legbreak,West Indies
52,LRPL Taylor,8/3/1984,Right hand Bat,Right-arm offbreak,New Zealand
53,AC Gilchrist,11/14/1971,Left hand Bat,Right-arm offbreak,Australia
54,Y Venugopal Rao,2/26/1982,Right hand Bat,Right-arm offbreak,India
55,VVS Laxman,1/11/1974,Right hand Bat,Right-arm offbreak,India
56,A Symonds,9/6/1975,Right hand Bat,Right-arm offbreak,Australia
57,RG Sharma,4/30/1987,Right hand Bat,Right-arm offbreak,India
58,SB Styris,10/7/1975,Right hand Bat,Right-arm medium,New Zealand
59,SB Bangar,11/10/1972,Right hand Bat,Right-arm medium-fast,India
60,WPUJC Vaas,1/27/1974,Left hand Bat,Left-arm fast-medium,Sri Lanka
61,RP Singh,6/12/1985,Right hand Bat,Left-arm fast-medium,India
62,WP Saha,10/24/1984,Right hand Bat,NA,India
63,LR Shukla,6/5/1981,Right hand Bat,Right-arm medium,India
64,DPMD Jayawardene,5/27/1977,Right hand Bat,Right-arm medium,Sri Lanka
65,S Sohal,10/11/1987,Right hand Bat,Legbreak,India
66,B Lee,8/11/1976,Right hand Bat,Right-arm fast,Australia
67,PP Chawla,12/24/1988,Left hand Bat,Legbreak,India
68,WA Mota,9/20/1981,Right hand Bat,Right-arm medium,India
69,Kamran Akmal,1/13/1982,Right hand Bat,NA,Pakistan
70,Shahid Afridi,1/3/1980,Right hand Bat,Legbreak googly,Pakistan
71,DJ Bravo,7/10/1983,Right hand Bat,Right-arm medium-fast,West Indies
72,MA Khote,4/22/1980,Right hand Bat,Right-arm medium,India
73,A Nehra,4/29/1979,Right hand Bat,Left-arm medium-fast,India
74,GC Smith,1/2/1981,Left hand Bat,Right-arm offbreak,South Africa
75,Pankaj Singh,6/5/1985,Right hand Bat,Right-arm medium-fast,India
76,RR Sarwan,6/23/1980,Right hand Bat,Legbreak,West Indies
77,S Sreesanth,6/2/1983,Right hand Bat,Right-arm fast-medium,India
78,VRV Singh,9/17/1984,Right hand Bat,Right-arm medium-fast,India
79,SS Tiwary,12/30/1989,Left hand Bat,NA,India
80,DS Kulkarni,10/12/1988,Right hand Bat,Right-arm medium,India
81,R Vinay Kumar,12/2/1984,Right hand Bat,Right-arm medium,India
82,AB Agarkar,4/12/1977,Right hand Bat,Right-arm fast,India
83,M Kartik,11/9/1976,Left hand Bat,Slow left-arm orthodox,India
84,I Sharma,2/9/1988,Right hand Bat,Right-arm fast-medium,India
85,AM Rahane,6/6/1988,Right hand Bat,Right-arm medium,India
86,Shoaib Malik,1/2/1982,Right hand Bat,Right-arm offbreak,Pakistan
87,MK Tiwary,11/14/1985,Right hand Bat,Legbreak googly,India
88,KD Karthik,1/6/1985,Right hand Bat,NA,India
89,R Bhatia,10/22/1979,Right hand Bat,Right-arm medium-fast,India
90,MF Maharoof,7/9/1984,Right hand Bat,Right-arm fast-medium,India
91,VY Mahesh,12/21/1987,Right hand Bat,Right-arm medium-fast,India
92,TM Srivastava,7/11/1989,Left hand Bat,Right-arm medium,India
93,B Chipli,1/27/1983,Right hand Bat,Right-arm medium,India
94,DW Steyn,6/27/1983,Right hand Bat,Right-arm fast,South Africa
95,DB Das,9/22/1986,Right hand Bat,Legbreak googly,India
96,MK Pandey,10/9/1989,Right hand Bat,Right-arm medium,India
97,HH Gibbs,2/23/1974,Right hand Bat,Right-arm bowler,South Africa
98,DNT Zoysa,5/13/1978,Left hand Bat,Left-arm fast-medium,Sri Lanka
99,D Kalyankrishna,12/16/1983,Right hand Bat,Right-arm medium-fast,India
100,SE Marsh,9/7/1983,Left hand Bat,Slow left-arm orthodox,Australia
101,SA Asnodkar,3/29/1984,Right hand Bat,Right-arm offbreak,India
102,Sohail Tanvir,12/12/1984,Left hand Bat,Left-arm medium-fast,Pakistan
103,Salman Butt,7/10/1984,Left hand Bat,Right-arm offbreak,Pakistan
104,BJ Hodge,12/29/1974,Right hand Bat,Right-arm offbreak,Australia
105,Umar Gul,4/14/1984,Right hand Bat,Right-arm fast-medium,Pakistan
106,AB Dinda,3/25/1984,Right hand Bat,Right-arm medium-fast,India
107,SP Fleming,1/4/1973,Left hand Bat,NA,New Zealand
108,S Vidyut,3/12/1981,Left hand Bat,Slow left-arm orthodox,India
109,JA Morkel,10/6/1981,Left hand Bat,Right-arm medium-fast,South Africa
110,AB de Villiers,2/17/1984,Right hand Bat,Right-arm medium,South Africa
111,LPC Silva,12/14/1979,Right hand Bat,Legbreak,Sri Lanka
112,DB Ravi Teja,5/9/1987,Right hand Bat,Legbreak googly,India
113,Misbah-ul-Haq,5/28/1974,Right hand Bat,Legbreak,Pakistan
114,YV Takawale,5/11/1984,Right hand Bat,NA,India
115,RR Raje,3/9/1986,Right hand Bat,Right-arm fast-medium,India
116,PJ Sangwan,5/11/1990,Right hand Bat,Left-arm medium,India
117,Mohammad Asif,12/20/1982,Left hand Bat,Right-arm fast-medium,Pakistan
118,GD McGrath,9/2/1970,Right hand Bat,Right-arm fast-medium,Australia
119,Joginder Sharma,10/23/1983,Right hand Bat,Right-arm fast-medium,India
120,MS Gony,4/1/1984,Right hand Bat,Right-arm medium,India
121,M Muralitharan,4/17/1972,Right hand Bat,Right-arm offbreak,Sri Lanka
122,M Ntini,6/7/1977,Right hand Bat,Right-arm fast,South Africa
123,DT Patil,6/12/1984,Right hand Bat,NA,India
124,A Kumble,10/17/1970,Right hand Bat,Legbreak googly,India
125,S Anirudha,4/14/1987,Right hand Bat,NA,India
126,MM Patel,12/7/1983,Right hand Bat,Right-arm medium-fast,India
127,CK Kapugedera,2/24/1987,Right hand Bat,Right-arm medium,Sri Lanka
128,A Chopra,9/19/1977,Right hand Bat,Right-arm offbreak,India
129,T Taibu,5/14/1983,Right hand Bat,Right-arm medium,Zimbabwe
130,J Arunkumar,1/18/1975,Right hand Bat,Right-arm offbreak,India
131,PP Ojha,5/9/1986,Left hand Bat,Slow left-arm orthodox,India
132,SP Goswami,5/18/1989,Left hand Bat,NA,India
133,SR Tendulkar,4/24/1973,Right hand Bat,Right-arm offbreak,India
134,U Kaul,2/12/1987,Left hand Bat,NA,India
135,TM Dilshan,10/14/1976,Right hand Bat,Right-arm offbreak,Sri Lanka
136,A Mishra,11/24/1982,Right hand Bat,Legbreak,India
137,AD Mascarenhas,10/30/1977,Right hand Bat,Right-arm fast-medium,England
138,NK Patel,3/26/1981,Left hand Bat,NA,India
139,LA Pomersbach,9/28/1984,Left hand Bat,Right-arm offbreak,Australia
140,Iqbal Abdulla,2/12/1989,Left hand Bat,Slow left-arm orthodox,India
141,Younis Khan,11/29/1977,Right hand Bat,Right-arm medium,Pakistan
142,PM Sarvesh Kumar,4/26/1989,Right hand Bat,Right-arm medium,India
143,DP Vijaykumar,10/20/1986,Right hand Bat,Right-arm medium,India
144,Shoaib Akhtar,8/13/1975,Right hand Bat,Right-arm fast,Pakistan
145,Abdur Razzak,6/15/1982,Left hand Bat,Slow left-arm orthodox,Bangladesh
146,H Das,10/12/1986,Right hand Bat,NA,India
147,DR Smith,12/4/1983,Right hand Bat,Right-arm medium,West Indies
148,SD Chitnis,6/5/1987,Right hand Bat,Right-arm offbreak,India
149,CRD Fernando,7/19/1979,Right hand Bat,Right-arm fast-medium,Sri Lanka
150,VS Yeligati,4/23/1985,Right hand Bat,Right-arm offbreak,India
151,L Balaji,9/27/1981,Right hand Bat,Right-arm medium-fast,India
152,A Mukund,6/1/1990,Left hand Bat,Legbreak googly,India
153,RR Powar,5/20/1978,Right hand Bat,Right-arm offbreak,India
154,JP Duminy,4/14/1984,Left hand Bat,Right-arm offbreak,South Africa
155,A Flintoff,6/12/1977,Right hand Bat,Right-arm fast-medium,England
156,T Thushara,1/3/1981,Left hand Bat,Left-arm fast-medium,Sri Lanka
157,JD Ryder,6/8/1984,Left hand Bat,Right-arm medium,New Zealand
158,KP Pietersen,6/27/1980,Right hand Bat,Right-arm offbreak,South Africa
159,T Henderson,1/8/1974,Right hand Bat,Right-arm fast-medium,South Africa
160,Kamran Khan,10/3/1991,Left hand Bat,Left-arm medium-fast,India
161,RS Bopara,4/5/1985,Right hand Bat,Right-arm medium,England
162,CH Gayle,9/21/1979,Left hand Bat,Right-arm offbreak,West Indies
163,MC Henriques,1/2/1987,Right hand Bat,Right-arm fast-medium,Australia
164,R Bishnoi,8/10/1987,Right hand Bat,Right-arm medium-fast,India
165,FH Edwards,6/2/1982,Right hand Bat,Right-arm fast,West Indies
166,KV Sharma,10/23/1987,Left hand Bat,Legbreak googly,India
167,PC Valthaty,7/12/1983,Right hand Bat,Right-arm medium,India
168,RJ Quiney,8/20/1982,Left hand Bat,Right-arm medium,Australia
169,AS Raut,3/3/1987,Right hand Bat,Legbreak googly,India
170,Yashpal Singh,11/27/1981,Right hand Bat,Right-arm medium,India
171,M Manhas,12/10/1979,Right hand Bat,Right-arm offbreak,India
172,AA Bilakhia,5/31/1986,Right hand Bat,Right-arm medium,India
173,AN Ghosh,10/19/1986,Right hand Bat,Right-arm medium,India
174,BAW Mendis,11/3/1985,Right hand Bat,Right-arm offbreak,Sri Lanka
175,DL Vettori,1/27/1979,Left hand Bat,Slow left-arm orthodox,New Zealand
176,MN van Wyk,3/20/1979,Right hand Bat,Slow left-arm orthodox,South Africa
177,RE van der Merwe,12/31/1984,Right hand Bat,Slow left-arm orthodox,South Africa
178,TL Suman,12/15/1983,Right hand Bat,Right-arm offbreak,India
179,Shoaib Ahmed,8/17/1990,Right hand Bat,Right-arm fast-medium,Pakistan
180,GR Napier,6/1/1980,Right hand Bat,Right-arm medium,England
181,KP Appanna,12/20/1988,Right hand Bat,Slow left-arm orthodox,India
182,LA Carseldine,11/17/1975,Left hand Bat,Left-arm medium,Australia
183,NV Ojha,7/20/1983,Right hand Bat,NA,India
184,SM Harwood,1/3/1974,Right hand Bat,Right-arm fast-medium,Australia
185,M Vijay,1/4/1984,Right hand Bat,Right-arm offbreak,India
186,SB Jakati,11/27/1980,Left hand Bat,Slow left-arm orthodox,India
187,DA Warner,10/27/1986,Left hand Bat,Legbreak,Australia
188,RJ Harris,11/10/1979,Right hand Bat,Right-arm fast,Australia
189,D du Preez,8/11/1981,Right hand Bat,Right-arm fast-medium,South Africa
190,M Morkel,6/10/1984,Left hand Bat,Right-arm fast,South Africa
191,AD Mathews,2/6/1987,Right hand Bat,Right-arm fast-medium,Sri Lanka
192,J Botha,2/5/1982,Right hand Bat,Right-arm offbreak,South Africa
193,C Nanda,3/29/1979,Right hand Bat,Legbreak,India
194,SL Malinga,8/28/1983,Right hand Bat,Right-arm fast,Sri Lanka
195,Mashrafe Mortaza,5/10/1983,Right hand Bat,Right-arm fast-medium,Bangladesh
196,A Singh,6/21/1981,Right hand Bat,Right-arm medium-fast,India
197,GJ Bailey,7/9/1982,Right hand Bat,Right-arm medium,Australia
198,AB McDonald,5/6/1981,Right hand Bat,Right-arm fast-medium,Australia
199,Y Nagar,6/1/1990,Right hand Bat,Right-arm offbreak,India
200,SS Shaikh,1/18/1987,Right hand Bat,Right-arm medium,India
201,R Ashwin,9/17/1986,Right hand Bat,Right-arm offbreak,India
202,Mohammad Ashraful,7/7/1984,Right hand Bat,Right-arm offbreak,Bangladesh
203,CA Pujara,1/25/1988,Right hand Bat,Legbreak,India
204,OA Shah,10/22/1978,Right hand Bat,Right-arm offbreak,England
205,Anirudh Singh,2/8/1980,Left hand Bat,Right-arm medium,India
206,Jaskaran Singh,4/9/1989,Right hand Bat,Right-arm medium,India
207,AP Tare,7/11/1987,Right hand Bat,NA,India
208,AT Rayudu,9/23/1985,Right hand Bat,Right-arm offbreak,India
209,R Sathish,1/14/1981,Right hand Bat,Right-arm medium,India
210,R McLaren,9/2/1983,Left hand Bat,Right-arm medium-fast,South Africa
211,AA Jhunjhunwala,1/12/1982,Right hand Bat,Right-arm offbreak,India
212,P Dogra,11/19/1984,Right hand Bat,Legbreak,India
213,A Uniyal,11/21/1981,Left hand Bat,Left-arm medium,India
214,MS Bisla,12/27/1984,Right hand Bat,NA,India
215,YA Abdulla,1/17/1983,Left hand Bat,Left-arm fast-medium,India
216,EJG Morgan,10/9/1986,Left hand Bat,Right-arm medium,England
217,JM Kemp,2/10/1977,Right hand Bat,Right-arm fast-medium,South Africa
218,S Tyagi,9/17/1987,Right hand Bat,Right-arm medium,India
219,RS Gavaskar,2/20/1976,Left hand Bat,Slow left-arm orthodox,India
220,SE Bond,7/6/1975,Right hand Bat,Right-arm fast,New Zealand
221,KA Pollard,12/5/1987,Right hand Bat,Right-arm medium-fast,West Indies
222,S Ladda,10/7/1986,Right hand Bat,Legbreak,India
223,DP Nannes,5/16/1976,Right hand Bat,Left-arm fast,Australia
224,MJ Lumb,12/2/1980,Left hand Bat,Right-arm medium,England
225,DR Martyn,10/21/1971,Right hand Bat,Right-arm medium,Australia
226,S Narwal,4/16/1982,Left hand Bat,Right-arm medium,India
227,AB Barath,4/14/1990,Right hand Bat,Right-arm offbreak,India
228,Bipul Sharma,9/28/1983,Left hand Bat,Slow left-arm orthodox,India
229,FY Fazal,7/9/1985,Left hand Bat,Right-arm medium,India
230,AC Voges,4/10/1979,Right hand Bat,Slow left-arm orthodox,Australia
231,MD Mishra,9/2/1984,Right hand Bat,Right-arm offbreak,India
232,UT Yadav,10/25/1987,Right hand Bat,Right-arm fast-medium,India
233,J Theron,7/24/1985,Right hand Bat,Right-arm medium-fast,South Africa
234,SJ Srivastava,9/22/1981,Right hand Bat,Left-arm fast-medium,India
235,R Sharma,4/30/1987,Right hand Bat,Right-arm offbreak,India
236,Mandeep Singh,12/18/1991,Right hand Bat,Right-arm medium,India
237,KM Jadhav,3/26/1985,Right hand Bat,Right-arm offbreak,India
238,SW Tait,2/22/1983,Right hand Bat,Right-arm fast,Australia
239,KB Arun Karthik,2/15/1986,Right hand Bat,Legbreak googly,India
240,KAJ Roach,6/30/1988,Right hand Bat,Right-arm fast,West Indies
241,PD Collingwood,5/26/1976,Right hand Bat,Right-arm medium,England
242,CK Langeveldt,12/17/1974,Right hand Bat,Right-arm fast-medium,England
243,VS Malik,9/5/1983,Right hand Bat,Right-arm medium,India
244,A Mithun,10/25/1989,Right hand Bat,Right-arm medium,India
245,AP Dole,9/10/1987,Right hand Bat,Right-arm medium-fast,India
246,AN Ahmed,5/11/1988,Right hand Bat,Right-arm medium-fast,India
247,RS Sodhi,10/18/1980,Right hand Bat,Right-arm medium,India
248,DE Bollinger,7/24/1981,Left hand Bat,Left-arm fast-medium,Australia
249,S Sriram,2/21/1976,Left hand Bat,Slow left-arm orthodox,India
250,B Sumanth,10/5/1988,Right hand Bat,Right-arm medium-fast,India
251,C Madan,10/15/1982,Right hand Bat,NA,India
252,AG Paunikar,4/18/1988,Right hand Bat,NA,India
253,MR Marsh,10/20/1991,Right hand Bat,Right-arm medium,Australia
254,AJ Finch,11/17/1986,Right hand Bat,Slow left-arm orthodox,Australia
255,STR Binny,3/6/1984,Right hand Bat,Right-arm medium,India
256,Harmeet Singh,7/9/1992,Left hand Bat,Slow left-arm orthodox,India
257,IR Jaggi,1/27/1989,Right hand Bat,Legbreak googly,India
258,DT Christian,4/5/1983,Right hand Bat,Right-arm fast-medium,Australia
259,RV Gomez,10/16/1985,Right hand Bat,Right-arm medium,India
260,MA Agarwal,2/16/1991,Right hand Bat,NA,India
261,AUK Pathan,6/17/1984,Right hand Bat,Right-arm medium,India
262,UBT Chand,3/26/1993,Right hand Bat,Right-arm offbreak,India
263,DJ Jacobs,4/11/1982,Right hand Bat,Right-arm medium,South Africa
264,Sunny Singh,12/18/1986,Right hand Bat,Right-arm medium-fast,India
265,NJ Rimmington,11/11/1982,Right hand Bat,Right-arm fast-medium,Australia
266,AL Menaria,10/29/1990,Left hand Bat,Slow left-arm orthodox,India
267,WD Parnell,7/30/1989,Left hand Bat,Left-arm medium-fast,South Africa
268,JJ van der Wath,10/1/1978,Right hand Bat,Right-arm medium-fast,South Africa
269,R Ninan,11/19/1985,Right hand Bat,Right-arm offbreak,India
270,S Aravind,8/4/1984,Left hand Bat,Left-arm medium-fast,India
271,MS Wade,12/26/1987,Left hand Bat,Right-arm medium,Australia
272,TD Paine,8/12/1984,Right hand Bat,Right-arm medium,Australia
273,SB Wagh,9/10/1988,Left hand Bat,Left-arm medium-fast,India
274,AC Thomas,9/2/1977,Right hand Bat,Right-arm fast-medium,England
275,JEC Franklin,7/11/1980,Left hand Bat,Left-arm medium,New Zealand
276,Shakib Al Hasan,3/24/1987,Left hand Bat,Slow left-arm orthodox,Bangladesh
277,DH Yagnik,6/22/1983,Left hand Bat,NA,India
278,S Randiv,1/30/1985,Right hand Bat,Right-arm offbreak,Sri Lanka
279,BJ Haddin,10/23/1977,Right hand Bat,NA,Australia
280,NLTC Perera,3/4/1989,Left hand Bat,Right-arm medium-fast,Sri Lanka
281,NL McCullum,1/9/1980,Right hand Bat,Right-arm offbreak,New Zealand
282,JE Taylor,6/22/1984,Right hand Bat,Right-arm fast,New Zealand
283,J Syed Mohammad,3/6/1983,Left hand Bat,Slow left-arm orthodox,India
284,RN ten Doeschate,6/30/1980,Right hand Bat,Right-arm medium-fast,Netherlands
285,TR Birt,9/12/1981,Left hand Bat,Right-arm medium,Australia
286,AG Murtaza,1/1/1990,Left hand Bat,Slow left-arm orthodox,India
287,Harpreet Singh,11/8/1991,Left hand Bat,Right-arm medium,India
288,M Klinger,4/7/1980,Right hand Bat,NA,Australia
289,AC Blizzard,6/27/1984,Left hand Bat,Left-arm medium,Australia
290,I Malhotra,5/23/1984,Right hand Bat,Right-arm medium-fast,India
291,L Ablish,3/12/1982,Right hand Bat,Right-arm medium-fast,India
292,CA Ingram,3/7/1985,Left hand Bat,Legbreak,South Africa
293,S Nadeem,12/8/1989,Right hand Bat,Slow left-arm orthodox,India
294,P Parameswaran,5/30/1985,Right hand Bat,Left-arm medium,India
295,CJ Ferguson,11/21/1984,Right hand Bat,Right-arm medium,Australia
296,VR Aaron,10/29/1989,Right hand Bat,Right-arm fast,India
297,AA Chavan,10/28/1985,Left hand Bat,Slow left-arm orthodox,India
298,ND Doshi,6/10/1978,Right hand Bat,Slow left-arm orthodox,India
299,B Kumar,5/2/1990,Right hand Bat,Right-arm medium,India
300,Y Gnaneswara Rao,8/25/1984,Right hand Bat,Right-arm medium,India
301,S Rana,9/18/1984,Right hand Bat,Right-arm medium-fast,India
302,BA Bhatt,5/13/1990,Left hand Bat,Slow left-arm orthodox,India
303,F du Plessis,7/13/1984,Right hand Bat,Legbreak,South Africa
304,RE Levi,1/14/1988,Right hand Bat,Right-arm medium,South Africa
305,GJ Maxwell,10/14/1988,Right hand Bat,Right-arm offbreak,Australia
306,SPD Smith,2/6/1989,Right hand Bat,Legbreak googly,India
307,MN Samuels,5/2/1981,Right hand Bat,Right-arm offbreak,West Indies
308,SA Yadav,9/14/1990,Right hand Bat,Right-arm offbreak,India
309,KK Cooper,2/16/1989,Right hand Bat,Right-arm medium,West Indies
310,JP Faulkner,4/29/1990,Right hand Bat,Left-arm fast-medium,Australia
311,HV Patel,11/23/1990,Right hand Bat,Right-arm medium,India
312,DAJ Bracewell,9/28/1990,Right hand Bat,Right-arm fast-medium,New Zealand
313,DJ Harris,12/31/1979,Right hand Bat,Right-arm medium,Australia
314,Ankit Sharma,4/20/1991,Left hand Bat,Slow left-arm orthodox,India
315,SP Narine,5/26/1988,Left hand Bat,Right-arm offbreak,West Indies
316,GB Hogg,6/2/1971,Left hand Bat,Slow left-arm chinaman,Australia
317,RR Bhatkal,1/9/1985,Right hand Bat,Right-arm medium,India
318,CJ McKay,2/20/1983,Right hand Bat,Right-arm fast-medium,Australia
319,N Saini,10/28/1988,Right hand Bat,NA,India
320,DA Miller,10/6/1989,Left hand Bat,Right-arm offbreak,South Africa
321,Azhar Mahmood,2/28/1975,Right hand Bat,Right-arm fast-medium,Pakistan
322,P Negi,6/1/1993,Left hand Bat,Slow left-arm orthodox,India
323,RJ Peterson,4/8/1979,Left hand Bat,Slow left-arm orthodox,South Africa
324,KMDN Kulasekara,7/22/1982,Right hand Bat,Right-arm fast-medium,Sri Lanka
325,A Ashish Reddy,2/24/1991,Right hand Bat,Right-arm medium,India
326,V Pratap Singh,3/5/1992,Right hand Bat,Right-arm medium,India
327,BB Samantray,12/14/1988,Right hand Bat,NA,India
328,MJ Clarke,2/4/1981,Right hand Bat,Slow left-arm orthodox,Australia
329,Gurkeerat Singh,6/29/1990,Right hand Bat,Right-arm offbreak,India
330,AP Majumdar,4/30/1984,Right hand Bat,Legbreak googly,India
331,PA Reddy,11/2/1991,Right hand Bat,Legbreak,India
332,K Upadhyay,6/18/1986,Right hand Bat,Right-arm medium,India
333,P Awana,7/19/1986,Right hand Bat,Right-arm medium,India
334,AD Russell,4/29/1988,Right hand Bat,Right-arm fast,West Indies
335,A Chandila,5/12/1983,Right hand Bat,Right-arm offbreak,India
336,CA Lynn,10/4/1990,Right hand Bat,Slow left-arm orthodox,Australia
337,Sunny Gupta,9/27/1988,Right hand Bat,Right-arm offbreak,India
338,MC Juneja,12/9/1990,Right hand Bat,Right-arm offbreak,India
339,KK Nair,6/12/1991,Right hand Bat,Right-arm offbreak,India
340,GH Vihari,10/13/1993,Right hand Bat,Right-arm offbreak,India
341,MDKJ Perera,8/17/1990,Left hand Bat,NA,Sri Lanka
342,R Shukla,8/28/1990,Right hand Bat,Right-arm medium,India
343,B Laughlin,3/10/1982,Right hand Bat,Right-arm fast-medium,Australia
344,AS Rajpoot,4/12/1993,Right hand Bat,Right-arm medium,India
345,M Vohra,7/18/1993,Right hand Bat,Right-arm medium,India
346,JD Unadkat,10/18/1991,Right hand Bat,Left-arm medium,India
347,Mohammed Shami,3/9/1990,Right hand Bat,Right-arm fast-medium,India
348,BMAJ Mendis,1/15/1983,Left hand Bat,Legbreak,Sri Lanka
349,R Rampaul,10/15/1984,Left hand Bat,Right-arm fast-medium,West Indies
350,CH Morris,4/30/1987,Right hand Bat,Right-arm fast-medium,South Africa
351,SV Samson,11/11/1994,Right hand Bat,NA,India
352,SMSM Senanayake,9/2/1985,Right hand Bat,Right-arm offbreak,Sri Lanka
353,BJ Rohrer,3/26/1981,Left hand Bat,NA,Australia
354,KL Rahul,4/18/1992,Right hand Bat,NA,India
355,Q de Kock,12/17/1992,Left hand Bat,NA,South Africa
356,R Dhawan,2/19/1990,Right hand Bat,Right-arm medium-fast,India
357,MG Johnson,2/11/1981,Left hand Bat,Left-arm fast,Australia
358,LJ Wright,7/3/1985,Right hand Bat,Right-arm medium-fast,England
359,IC Pandey,8/15/1989,Right hand Bat,Right-arm medium,India
360,CM Gautam,8/3/1986,Right hand Bat,NA,India
361,X Thalaivan Sargunam,5/15/1985,Right hand Bat,Right-arm offbreak,India
362,DJG Sammy,12/20/1983,Right hand Bat,Right-arm medium-fast,West Indies
363,KW Richardson,12/2/1991,Right hand Bat,Right-arm fast-medium,Australia
364,MM Sharma,9/18/1988,Right hand Bat,Right-arm medium,India
365,UA Birla,11/17/1989,Right hand Bat,Right-arm medium,India
366,Parvez Rasool,2/13/1989,Right hand Bat,Right-arm offbreak,India
367,Sandeep Sharma,5/18/1993,Right hand Bat,Right-arm medium,India
368,S Kaul,5/19/1990,Right hand Bat,Right-arm medium,India
369,Sachin Baby,12/18/1988,Left hand Bat,Right-arm offbreak,India
370,PV Tambe,8/10/1971,Right hand Bat,Legbreak,India
371,NM Coulter-Nile,11/10/1987,Right hand Bat,Right-arm fast,Australia
372,CJ Anderson,12/13/1990,Left hand Bat,Left-arm medium-fast,New Zealand
373,NJ Maddinson,12/21/1991,Left hand Bat,Slow left-arm orthodox,Australia
374,AR Patel,1/20/1994,Left hand Bat,Slow left-arm orthodox,India
375,JJ Bumrah,6/12/1993,Right hand Bat,Right-arm medium,India
376,JDS Neesham,9/17/1990,Left hand Bat,Right-arm medium,New Zealand
377,TG Southee,11/12/1988,Right hand Bat,Right-arm medium-fast,New Zealand
378,MA Starc,1/30/1990,Left hand Bat,Left-arm fast,Australia
379,BR Dunk,11/3/1987,Left hand Bat,NA,Australia
